2024_Promise,Forecast,Similarity_Score,Historical_Match,Historical_Year
We will creaWtee swuisllt carienaatbel es ulivstealiihnoaobdle o lpivpeolirhtouondit oiepsp foorrt ufinshiteiersm feonr tfihsrhoeurgmhe pnr othmrooutigohn porfo pmeoatrli ofnar omf ipnega.rl farming. EstablishinEgs tNaubclilsehuisn Bg rNeuecdlienugs C Berneterdesin agn Cde Bnrtoreosd a Bnadn Bkrsood Banks,Indeterminate,0.4698,Launch the 'Pradhan Mantri Gram SinchayeeYojana' with a motto of 'harkhetkopaani'. We will launch multi-pronged 'water strategy' for reducing farmer's dependence on monsoon. Increase irrigated land by completing the long pending irrigation projects on priority.,2014
We will incrWeaes we ipllr iondcurecatisoen p arnodd upcrtoidounc atnivdit pyr iond tuhcet ifivsithye irni etsh ese ficsthoer rtiherso suegcht oers tthabroliushghm eesntta obfli sah nmetewnto rokf a network of Nucleus oBfr eNeudcilnegu sC eBnretreedsi nagn dCe Bnrtoroeds aBnadn kBsr.ood Banks. Using SateUllsitien gIm Saagteelrlyit efo Irm Pargoetreyc tfionrg P Friostheecrtminegn Fishermen,Indeterminate,0.4161,Work towards completing the development of ‘Panchteeh’ circuit,2019
"We will lau nWceh wa isllp leacuinacl hp rao gspraemciaml ep ruotgilrisaimngm sea tuetlilliitsein igm saagteerlyli tfeo rim reangdeeryri nfogr i nretnedgreartinegd isnetrevgircaet feodr stehrev ice for the fishermen cfiosmhemrmuneinty c, oemnsmuurinnigt yb, oetnhs uthrienigr sbaofteht yth aenidr ssaefceutryit ayn.d security. Using TechUnsoilnogg yTe tcoh Aniodl oFgisyh teor mAiedn Fishermen MODI KI",Low Confidence: Partial,0.561,"We will facilitate farming of sea-weed, pearl as well as ornamental fish to ensure a better return to the fishermen",2019
"We will makWee u wseil lo mf aa ksee ruieses ooff tae scehrnieoslo ogfi ctaelc ihnnteorlovgeinctailo innst efrovre fnatrimon bsi ofosre cfaurrmity b, miosaencaugreitmy,e mnta onfa gement of diseases ind aiqseuaasteics a inn iamqaulas,t fice eadn iamnadls g, rfoewedt ha nmdo gnritoowrtinhg m. Woen iwtoilrli nmga. kWee u wseil lo mf darkoen ues tee ocfh dnroolongey t feocrh nology for managememnta onfa gtheem fiesnht eorfi etsh ea nfids haeqruiaecsu alntudr aeq inudaucustltruierse. industries. GUARANTEE FOR FISHERMEN FAMILIES We are committed to advancing the prosperity and welfare of our fishermen by enhancing fisheries through initiatives like the Pradhan Mantri Matsya Sampada Yojana, modernising infrastructure, and providing financial support and skill development. Our efforts are aimed at empowering fishermen families to thrive and contribute to the nation's Blue Revolution. Extending EPxMte Mndatinsgya P SMa mMaptasdyaa YSoajmanpaada Yojana",Indeterminate,0.4262,Poshan Abhiyaan.,2019
We will furtWhee rw eixllt feunrdth tehre e PxMte Mnda ttshyea P SMam Mpaatdsyaa Y Soajamnpa atdoa in Ycorjeaansae t fios ihn cprreoadsuec fitsiohn p arnodd uincctrioena saen odu inr crease our annual seafaonondu eaxl speoarftoso. d exports. Insurance Ifnosru Friasnhceeri feosr Fisheries,Moderate Confidence: Partial,0.6127,"We will facilitate farming of sea-weed, pearl as well as ornamental fish to ensure a better return to the fishermen",2019
"We will furtWhee rw sitllr feunrgtthheern s atrnedn egxthpeann da nthde e ixnpsaunradn tchee c ionvseurraagnec ea vcoaivlaebraleg eu nadvearil aPbMle M uantdseyra P SMam Mpaatdsyaa Sampada Yojana throYuogjahn ma othrero tuegchhn moloorgei ctaelc ihnnteorlovgeinctailo innst etrov eennstiuornes s tpoe eendsyu arned s pmeoerdey a acncdur matoer ea sascecsusrmateen ats, sessment, faster payofuatsst earn pda qyuoiuctkse ra ngdri eqvuaicnkceer r gersioelvuatniocne. resolution. DevelopingD Pevroedloupcitnigo nP raonddu Pcrtoiocne sasnindg P Crolucsetsesrisn gfo Crl uFsistheersrm foern Fishermen",Indeterminate,0.4655,Poshan Abhiyaan.,2019
We will devWeleo pw pilrl oddeuvcetloiopn p arnodd upcrtoicoens asnindg pcrluoscteesrssin wgi tchlu sspteercsia wl aitthte snpteiocina lt aot wteonmtieonn otof cwooamsteanl of coastal communitiecosmmunities,Indeterminate,0.3887,Assist Fishermen via Matsya Sampada Yojana,2019
26 26,Indeterminate,0.371,Poshan Abhiyaan.,2019
We will boost seaweed cultivation under the Pradhan Mantri Matsya Sampada Yojana to increase income of fishermen. Pearl Farming,High Confidence: Partial,0.7289,"We will facilitate farming of sea-weed, pearl as well as ornamental fish to ensure a better return to the fishermen",2019
We will create sustainable livelihood opportunities for fishermen through promotion of pearl farming. Establishing Nucleus Breeding Centres and Brood Banks,High Confidence: Partial,0.7348,"We will facilitate farming of sea-weed, pearl as well as ornamental fish to ensure a better return to the fishermen",2019
We will increase production and productivity in the fisheries sector through establishment of a network of Nucleus Breeding Centres and Brood Banks. Using Satellite Imagery for Protecting Fishermen,High Confidence: Highly Likely,0.7111,Promote fish farming and aqua culture. Measures would be taken for the welfare of fisherman,2014
"We will launch a special programme utilising satellite imagery for rendering integrated service for the fishermen community, ensuring both their safety and security. Using Technology to Aid Fishermen",Moderate Confidence: Highly Likely,0.6159,Harness our advanced satellite technology and expertise for development.,2014
"We will make use of a series of technological interventions for farm biosecurity, management of",Moderate Confidence: Partial,0.6379,We will extensively use technology to ensure a better knowledge of the market prices of various agri products for the benefit of farmers,2019
"diseases in aquatic animals, feed and growth monitoring. We will make use of drone technology for management of the fisheries and aquaculture industries. Extending PM Matsya Sampada Yojana",Low Confidence: Highly Likely,0.5847,Promote fish farming and aqua culture. Measures would be taken for the welfare of fisherman,2014
We will further extend the PM Matsya Sampada Yojana to increase fish production and increase our annual seafood exports. Insurance for Fisheries,Moderate Confidence: Highly Likely,0.621,Assist Fishermen via Matsya Sampada Yojana,2019
"We will further strengthen and expand the insurance coverage available under PM Matsya Sampada Yojana through more technological interventions to ensure speedy and more accurate assessment, faster payouts and quicker grievance resolution. Developing Production and Processing Clusters for Fishermen",Low Confidence: Partial,0.5714,We will bring all fishermen under the ambit of all welfare programmes and social security schemes with expanded coverage for accident insurance,2019
We will develop production and processing clusters with special attention to women of coastal communities 2277,Low Confidence: Highly Likely,0.5655,"Implement and incentivize the setting up of the food processing industry that has remained just a plain talk till now. This will lead to better income for farmers and create jobs. We aim to set up 'agro food processing clusters', with high value, export-quality and vacuum packed food processing facilities, etc.",2014
We will work with platforms for registration of Gig workers on eShram and reach out to such shramik bandhus to help them avail the benefits of various programmes that they are eligible for. Reaching out to Migrant workers registered on e-Shram,Indeterminate,0.4564,Review the working conditions and enhance the remuneration of Anganwadi worker's.,2014
We will reach out to migrant workers and empower them to avail benefits of various programmes that they are eligible for. Special Train Services for Migrant Workers We are running special train services on important occasions for helping the migrant workers travel to,Low Confidence: Partial,0.58,Take urgent steps for the safety of the migrant workers and communities from the Northeast and other states.,2014
and from their homes. We will enhance these services so that migrant workers can travel without any hassles. Expanding PM Svanidhi for Street Vendors We have empowered street vendors by providing credit facilities to 63+ lakh street vendors under PM,Low Confidence: Partial,0.5435,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019
"Svanidhi. We will continue to further expand PM Svanidhi to cover street vendors, travelling salesmen among others from small towns and villages across Bharat. MODI KI Establishing Facilities for Drivers along National Highways",Low Confidence: Partial,0.5479,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019
"We will introduce a new scheme for truck drivers under which modern facilities will be developed along GUARANTEE FOR the national highways. SHRAMIK SAMMAN Including Auto, Taxi, Truck and Other Drivers in All Social Security Schemes",Moderate Confidence: Partial,0.6006,Develop National Highways Infrastructure,2019
"We will onboard auto, taxi, truck and other drivers on e-Shram portal and ensure 100% coverage of all drivers under insurance and other welfare programmes.",Low Confidence: Unlikely,0.5054,Ensure 100% electrification of all households,2019
"Our Shramik bandhus are major contributors to the progress of Bharat. We will empower our Shramik Bandhus with the aim to provide the best opportunities and facilitate ease of working for all workers including gig workers, truck drivers, porters, domestic workers, and street vendors, among others. Periodic Review of National Floor Wages",Moderate Confidence: Highly Likely,0.6161,"BJP is committed to strengthen self-Governance at the local level and we will empower Panchayati Raj Institutions with extensive devolution of the 3 Fs - Functions, Functionaries and Funds. --- Good performers amongst the Panchayats will be rewarded with additional developmental grants. ---- Strengthen the institution of the Gram Sabha, respecting their inputs and initiatives for development process. ---",2014
We will ensure a review of National Floor Wages from time to time. Social Security through Post Offices and Digital India We have successfully implemented social security insurance schemes like PM Jeevan Bima and Suraksha,Low Confidence: Highly Likely,0.5896,Ensure comprehensive social security coverage for all unorganised labourers,2019
Bima for unorganised workers. We will now integrate all such schemes and use the post office and Digital,Indeterminate,0.4568,"Issue identity cards to the unorganized sector labourers, and arrangements will be made to provide them good quality health and education services. Also, their skills will be upgraded through appropriate training programs.",2014
India network to provide comprehensive social security cover for accident and life insurance. We will use digital technologies for easy enrollment and seamless payment. Coverage of workers in e-Shram,Low Confidence: Highly Likely,0.5878,Ensure comprehensive social security coverage for all unorganised labourers,2019
We have registered unorganised workers on the e-Shram platform. We will reach out to the eShram registered shramik bandhu and help them avail the benefits of various government programmes that they are eligible for. 28,Indeterminate,0.4888,"Initiate a National e-Governance Plan to cover every Government office from the centre to the panchayats. The 'E Gram, Vishwa Gram' scheme in Gujarat to be implemented nationwide.",2014
We will work with platforms for registration of Gig workers on eShram and reach out to such shramik bandhus to help them avail the benefits of various programmes that they are eligible for. Reaching out to Migrant workers registered on e-Shram,Indeterminate,0.4564,Review the working conditions and enhance the remuneration of Anganwadi worker's.,2014
We will reach out to migrant workers and empower them to avail benefits of various programmes that they are eligible for. Special Train Services for Migrant Workers We are running special train services on important occasions for helping the migrant workers travel to,Low Confidence: Partial,0.58,Take urgent steps for the safety of the migrant workers and communities from the Northeast and other states.,2014
and from their homes. We will enhance these services so that migrant workers can travel without any hassles. Expanding PM Svanidhi for Street Vendors We have empowered street vendors by providing credit facilities to 63+ lakh street vendors under PM,Low Confidence: Partial,0.5435,"In rural and semi-rural areas and create better employment opportunities for them, we will make every effort to ensure access to credit and other resources, capacity building, market and distribution network for women entrepreneurs, SHGs and women",2019
"Svanidhi. We will continue to further expand PM Svanidhi to cover street vendors, travelling salesmen among others from small towns and villages across Bharat. Establishing Facilities for Drivers along National Highways",Low Confidence: Partial,0.5257,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019
"We will introduce a new scheme for truck drivers under which modern facilities will be developed along the national highways. Including Auto, Taxi, Truck and Other Drivers in All Social Security Schemes",Moderate Confidence: Partial,0.627,Develop National Highways Infrastructure,2019
"We will onboard auto, taxi, truck and other drivers on e-Shram portal and ensure 100% coverage of all drivers under insurance and other welfare programmes. Periodic Review of National Floor Wages",Indeterminate,0.4668,Efficient public transport systems.,2014
We will ensure a review of National Floor Wages from time to time. Social Security through Post Offices and Digital India We have successfully implemented social security insurance schemes like PM Jeevan Bima and Suraksha,Low Confidence: Highly Likely,0.5896,Ensure comprehensive social security coverage for all unorganised labourers,2019
Bima for unorganised workers. We will now integrate all such schemes and use the post office and Digital,Indeterminate,0.4568,"Issue identity cards to the unorganized sector labourers, and arrangements will be made to provide them good quality health and education services. Also, their skills will be upgraded through appropriate training programs.",2014
India network to provide comprehensive social security cover for accident and life insurance. We will use digital technologies for easy enrollment and seamless payment. Coverage of workers in e-Shram,Low Confidence: Highly Likely,0.5878,Ensure comprehensive social security coverage for all unorganised labourers,2019
We have registered unorganised workers on the e-Shram platform. We will reach out to the eShram registered shramik bandhu and help them avail the benefits of various government programmes that they are eligible for. 29,Indeterminate,0.4898,"Initiate a National e-Governance Plan to cover every Government office from the centre to the panchayats. The 'E Gram, Vishwa Gram' scheme in Gujarat to be implemented nationwide.",2014
We will encWouer awgilel esnmcaolul traragdee srms aanll dt rMadSeMrEs sa tnod aMdSoMptE Os NtoD Cad aonpdt eOxNpDanC da nthde eirx pbaunsidn ethsseeirs b uussininge tshsees p uoswinegr the power of technoloogfy t.echnology. ProtectingP argoateincsttin Cgy abgear itnhsrte Caytbser threats,Indeterminate,0.424,"Take all necessary steps to protect the interest of retailers, small traders and small vendors and equip them with the latest techniques and methods to modernize them and make them competitive.",2014
We will creaWtee aw silul citree aotfe p au bsulicit ecy obfe prsuebcliucr cityyb perrosedcuucrtist yt op rhoedlpu cstms atlol threaldpe srms aanll dt rMadSeMrEs sa pnrdo MteScMt Es protect themselvest haegmainsesltv tehse a cgyabinesrt t thhree actysb aenr dt hfrreaautdss a. nd frauds. LaunchingL Aaffuonrcdhainbgle A Iffnsourdraanbclee IPnrsoudruacntcse Products,Indeterminate,0.3869,"We will accord highest priority to ensuring their security, especially the prevention of atrocities against SCs & STs.",2014
